id,name,tier,cost,prereqs
lean-to,"Lean-To",1,"1 Wood + 1 Fiber","None"
bow-drill,"Bow Drill",1,"1 Wood + 1 Fiber","None"
flint-spark,"Flint Spark",1,"1 Stone + 1 Fiber","None"
brush-ember,"Brush Ember",1,"2 Fiber","None"
campfire,"Campfire",1,"1 Wood + 1 Stone","Requires HearthActive"
cooked-meal,"Cooked Meal",1,"1 Ration","Requires HearthActive"
boiled-water,"Boiled Water",1,"1 Water","Requires HearthActive"
filtered-water,"Filtered Water",1,"1 Water + 1 Wood + 1 Stone","Requires HearthActive"
preserved-rations,"Preserved Rations",1,"1 Food + 1 Wood + 1 Fiber","Requires HearthActive"
dry-fuel,"Dry Fuel",1,"2 Wood + 1 Fiber","Requires HearthActive"
braided-cordage,"Braided Cordage",1,"2 Fiber","Requires HearthActive"
snare,"Snare",1,"2 Fiber + 1 Wood","None"
basic-tool,"Basic Tool",1,"1 Wood + 1 Stone","None"
simple-signal,"Simple Signal",1,"1 Stone + 1 Fiber","None"
signal-platform,"Signal Platform",1,"1 Wood + 1 Stone","Requires HearthActive; Requires Simple Signal"
water-catcher,"Water Catcher",2,"1 Wood + 1 Fiber + 1 Stone","Tier 2 unlock: Shelter or HearthActive; Requires HearthActive"
drying-rack,"Drying Rack",2,"2 Wood + 1 Fiber","Tier 2 unlock: Shelter or HearthActive; Requires HearthActive"
tool-bench,"Tool Bench",2,"1 Wood + 2 Stone","Tier 2 unlock: Shelter or HearthActive; Requires Tool"
signal-lens,"Signal Lens",2,"1 Cordage + 1 Stone","Tier 2 unlock: Shelter or HearthActive; Requires SignalEngine"
sturdy-shelter,"Sturdy Shelter",2,"2 Wood + 1 Stone","Tier 2 unlock: Shelter or HearthActive; Requires Shelter"
sustained-fire,"Sustained Fire",2,"1 Stone + 1 Fuel","Tier 2 unlock: Shelter or HearthActive; Requires Campfire"
signal-beacon,"Signal Beacon",2,"1 Wood + 1 Stone","Tier 2 unlock: Shelter or HearthActive; Requires SignalEngine"
beast-larder,"Beast Larder",3,"2 Wood + 1 Stone + 1 Cordage + 1 Food","Tier 3 epic; Requires Drying Rack"
storm-hearth,"Storm Hearth",3,"2 Stone + 1 Wood + 1 Fuel","Tier 3 epic; Requires Sustained Fire"
hunters-blind,"Hunter's Blind",3,"2 Wood + 2 Fiber","Tier 3 epic; Requires FoodSource and Snare"
signal-pyre,"Signal Pyre",3,"2 Wood + 1 Fuel + 1 Stone","Tier 3 epic; Requires Sustained Fire and SignalEngine"
rain-still,"Rain Still",3,"1 Wood + 1 Stone + 1 Fiber + 1 Water","Tier 3 epic; Requires Water Catcher"
traveler-kit,"Traveler Kit",3,"1 Wood + 1 Cordage + 1 Fiber + 1 Food","Tier 3 epic; Requires Tool Bench and Tool"
medicine-cache,"Medicine Cache",3,"1 Food + 1 Water + 1 Cordage + 1 Stone","Tier 3 epic; Requires Drying Rack"
ridge-watch,"Ridge Watch",3,"2 Stone + 1 Wood + 1 Fiber","Tier 3 epic; Requires SignalEngine"
smokehouse,"Smokehouse",3,"2 Wood + 1 Stone + 1 Food","Tier 3 epic; Requires Drying Rack"
master-cordage,"Master Cordage",3,"3 Fiber + 1 Wood","Tier 3 epic; Requires Braided Cordage"
